,year,CO2,CH4,N2O,CFC11,CFC12,solaire,chlore,GHG
207,1972,327.14,1417.0,296.225,65.965,205.6585,1361.2713,1430.984,1.729187755
208,1973,328.6775,1433.0,296.8,75.835,227.1542,1361.0188,1521.2795,1.779447378
209,1974,329.7425,1449.0,297.4,87.04,250.8463,1360.9471,1622.8305,1.822980051
210,1975,330.585,1465.0,298.0,99.56,276.6397,1360.7551,1734.698,1.863779627
211,1976,331.7475,1481.0,298.65,112.3,303.011,1360.8655,1847.4775,1.910044349
212,1977,333.2725,1497.25,299.36,124.7,329.1214,1361.0527,1959.7305,1.962178885
213,1978,334.8475,1513.75,300.0825,136.7,355.2836,1361.4927,2075.81,2.015048145
214,1979,336.525,1530.25,300.74,148.8,381.9794,1361.8516,2200.2295,2.069335064
215,1980,338.36,1547.75,301.3825,159.4,407.1158,1361.8649,2313.149,2.12527469898
216,1981,339.7275,1566.75,302.22,168.55,432.2755,1361.9117,2414.748,2.1740642624
217,1982,340.7925,1586.25,303.0975,177.85,457.9873,1361.5039,2514.2995,2.2169594071
218,1983,342.1975,1605.845,303.805,185.8,482.6038,1361.4175,2602.244,2.2627804693
219,1984,343.7825,1623.705,304.3975,193.75,508.3537,1361.03,2694.6775,2.3100081769
220,1985,345.2825,1637.9925,305.0875,202.85,536.0746,1360.8619,2797.429,2.354686835
221,1986,346.7975,1650.435,305.7725,212.1,563.3888,1360.8582,2895.1645,2.398310202
222,1987,348.645,1662.2,306.2625,222.8,592.219,1361.0096,2997.0255,2.446248222
223,1988,350.7375,1673.07,307.195,234.9,624.5785,1361.3013,3116.5455,2.499442041
224,1989,352.4875,1683.47,308.5075,244.9,658.6546,1361.8646,3236.3785,2.548036626
225,1990,353.855,1693.63,309.485,252.75,689.8661,1361.7704,3335.887,2.587428157
226,1991,355.0175,1703.8175,310.1125,260.15,717.9449,1361.6631,3429.1395,2.620125272
227,1992,355.885,1711.8,310.6025,264.95,743.5493,1361.52,3504.985,2.643192793
228,1993,356.7775,1716.29,311.0775,267.75,763.6356,1361.2475,3550.2125,2.661519215
229,1994,358.1275,1721.0125,311.6025,269.5,778.6722,1361.0168,3570.618,2.684967901
230,1995,359.8375,1726.35,312.295,269.5,790.0303,1360.9197,3562.1235,2.713896296
231,1996,361.4625,1730.01,313.0475,268.95,800.8993,1360.8325,3544.894,2.74240182
232,1997,363.155,1734.8175,313.76,268.2,810.426,1360.9598,3520.0685,2.773359267
233,1998,365.3225,1742.71,314.5325,266.95,817.834,1361.3207,3487.296,2.814013538
234,1999,367.3475,1749.2425,315.2575,265.2,825.4301,1361.6028,3456.543,2.852900402
235,2000,368.865,1751.0225,315.85,263.45,833.277,1361.9002,3429.2885,2.882105352
236,2001,370.4675,1750.7075,316.4875,261.9,840.7394,1361.8191,3404.8075,2.910963111
237,2002,372.5225,1752.1875,317.245,260.1,848.7463,1361.8973,3382.671,2.947853613
238,2003,374.76,1754.76,318.0175,257.95,855.8675,1361.4482,3360.2005,2.988453265
239,2004,376.8125,1755.065,318.71,256.05,862.18,1361.2668,3339.28,3.025031677
240,2005,378.8125,1753.735,319.44,254.1,868.4492,1361.074,3319.54,3.059626042
241,2006,380.8275,1754.512,320.1997,251.3,873.6924,1361.0304,3296.965,3.094353788
242,2007,382.7775,1758.046,320.8954,247.95,878.7803,1360.944,3272.8735,3.128716392
243,2008,384.8,1763.4195,321.6042,244.6,884.5811,1360.9119,3249.8065,3.16517457
244,2009,387.0123,1770.4425,322.3262,241.0256,890.7783,1360.8325,3225.7867,3.205264366
245,2010,389.3242,1778.6749,323.0611,237.2745,897.4116,1360.9598,3200.6922,3.247317052
246,2011,391.638,1788.0274,323.8091,233.5203,904.4452,1361.3207,3175.349,3.289667945
247,2012,394.0087,1798.6137,324.5752,229.7696,911.717,1361.6028,3149.6633,3.334114251
248,2013,396.4638,1810.5166,325.3642,226.0299,919.1132,1361.9002,3123.8297,3.380866042
249,2014,399.004,1823.6553,326.1758,222.3072,926.6053,1361.8191,3097.7849,3.428968105
250,2015,401.6279,1837.9657,327.0101,218.6081,934.1743,1361.8973,3071.4968,3.478570305
251,2016,404.3282,1853.3544,327.8668,214.9345,941.7632,1361.4482,3044.4686,3.529519141
252,2017,407.0959,1869.7086,328.7458,211.2849,949.3851,1361.2668,3017.1665,3.58162994
253,2018,409.927,1886.932,329.6469,207.6586,957.0723,1361.074,2990.4681,3.634787713
254,2019,412.8215,1904.9443,330.5698,204.0561,964.7756,1361.0304,2964.2486,3.689357569
255,2020,415.7802,1923.671,331.5144,200.478,972.4591,1360.944,2938.411,3.744919904
256,2021,418.7963,1942.9669,332.4805,196.9162,980.0734,1360.9119,2912.8045,3.80073815
257,2022,421.8644,1962.6522,333.466,193.3665,987.4355,1360.8325,2887.3314,3.856052413
258,2023,424.9947,1982.667,334.4689,189.836,994.4184,1360.9598,2862.0131,3.910976296
259,2024,428.1973,2003.0226,335.4889,186.3305,1001.0623,1361.3207,2836.8635,3.966514497
260,2025,431.4747,2023.7269,336.526,182.8551,1007.4046,1361.6028,2811.899,4.022699685
261,2026,434.8262,2044.7958,337.5798,179.415,1013.4832,1361.9002,2787.1468,4.079514179
262,2027,438.2446,2066.2057,338.6503,176.0117,1019.323,1361.8191,2762.6028,4.136847925
263,2028,441.7208,2087.9036,339.7373,172.6434,1024.938,1361.8973,2738.2401,4.194554017
264,2029,445.2509,2109.849,340.8406,169.3095,1030.3438,1361.4482,2714.0438,4.252555205
265,2030,448.8349,2132.0135,341.9601,166.0102,1035.5583,1361.2668,2690.0101,4.310838185
266,2031,452.4736,2154.3675,343.0957,162.7452,1040.5964,1361.074,2666.1352,4.3693970749
267,2032,456.177,2177.3915,344.2474,159.5076,1045.2489,1361.0304,2642.1471,4.4276312833
268,2033,459.964,2201.5638,345.4153,156.2934,1049.2261,1360.944,2617.6308,4.4858741829
269,2034,463.8518,2226.8476,346.5995,153.1084,1052.3996,1360.9119,2592.3283,4.5451045531
270,2035,467.85,2253.1982,347.7996,149.9568,1054.6739,1360.8325,2566.038,4.6053574951
271,2036,471.9605,2280.5735,349.0155,146.8423,1055.9825,1360.9598,2538.6109,4.6665815304
272,2037,476.1824,2308.9451,350.2471,143.7688,1056.2863,1361.3207,2509.9489,4.7287037157
273,2038,480.508,2338.2441,351.4943,140.7372,1055.5536,1361.6028,2479.9618,4.7915628501
274,2039,484.9272,2368.3713,352.7569,137.7456,1053.7592,1361.9002,2448.5679,4.8549637268
275,2040,489.4355,2399.2445,354.0348,134.7932,1050.8945,1361.8191,2415.7191,4.9187877899
276,2041,494.0324,2430.7994,355.3277,131.8798,1046.965,1361.8973,2381.3967,4.9829820751
277,2042,498.7297,2463.0464,356.6307,129.0054,1042.0363,1361.4482,2345.8176,5.0478834495
278,2043,503.5296,2495.8939,357.9385,126.1646,1036.2704,1361.2668,2309.3379,5.1134821
279,2044,508.4327,2529.2211,359.2511,123.3541,1029.8843,1361.074,2272.2705,5.17954677176
280,2045,513.4561,2563.0514,360.5682,120.578,1023.0892,1361.0304,2234.9406,5.24630620161
281,2046,518.6106,2597.397,361.8897,117.8398,1016.0578,1360.944,2197.6126,5.31389687961
282,2047,523.9001,2632.2674,363.2157,115.142,1008.9322,1360.9119,2160.5017,5.38236847663
283,2048,529.3242,2667.6834,364.5461,112.4876,1001.8312,1360.8325,2123.7881,5.451717419172
284,2049,534.8752,2703.6131,365.8807,109.8769,994.8406,1360.9598,2087.5956,5.5218409566159
285,2050,540.5428,2739.9847,367.2197,107.3084,988.0196,1361.3207,2052.0037,5.5926365
286,2051,546.322,2776.7447,368.5628,104.781,981.4165,1361.6028,2017.0768,5.66406328
287,2052,552.2119,2813.242,369.9087,102.2948,975.074,1361.9002,1982.862,5.73614814
288,2053,558.2122,2848.8704,371.2557,99.8493,969.0187,1361.8191,1949.3905,5.80863218
289,2054,564.3131,2883.5673,372.604,97.4402,963.2392,1361.8973,1916.6475,5.88107095
290,2055,570.5167,2917.3139,373.9533,95.0645,957.7293,1361.4482,1884.6257,5.95346444
291,2056,576.8434,2950.2507,375.3038,92.7255,952.5093,1361.2668,1853.3645,6.02605699
292,2057,583.3047,2982.4981,376.6553,90.4255,947.5935,1361.074,1822.89,6.09898969
293,2058,589.9054,3014.164,378.0079,88.1663,942.9911,1361.0304,1793.2187,6.17233195
294,2059,596.6466,3045.3612,379.3615,85.9502,938.7108,1360.944,1764.3636,6.24611811
295,2060,603.5204,3076.1345,380.7161,83.777,934.7484,1360.9119,1736.3154,6.32027246
296,2061,610.5165,3106.4763,382.0718,81.6453,931.0897,1360.8325,1709.0488,6.39467395
297,2062,617.6053,3135.8246,383.4273,79.5542,927.7226,1360.9598,1682.5402,6.46894557
298,2063,624.7637,3163.6749,384.7817,77.5031,924.6345,1361.3207,1656.7687,6.54268597
299,2064,631.9947,3190.1288,386.1348,75.4916,921.8112,1361.6028,1631.7123,6.61584511
300,2065,639.2905,3215.1494,387.4866,73.5159,919.2185,1361.9002,1607.3196,6.6883356
301,2066,646.6527,3238.7451,388.8372,71.5739,916.8309,1361.8191,1583.5513,6.76016951
302,2067,654.0984,3261.1038,390.1866,69.6675,914.6515,1361.8973,1560.4087,6.83156219
